Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.1045,chr5;chr5,140710;141311,140917;141471,+;+,369,0,0,0,0,17,0,0,0,17
GENE.1046,chr5,142871,145423,-,2553,1332,1325,1314,1196,1116,70,360,70,1116
GENE.1047,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,146639;147092;147674;148065;148775;148974;149217;149481,146854;147490;147853;148651;148870;149106;149360;150131,-;-;-;-;-;-;-;-,2406,0,1,0,0,78,0,0,0,78
GENE.1048,chr5;chr5;chr5,151422;151823;152375,151619;151977;152384,-;-;-,363,3,3,3,3,15,0,3,0,15
GENE.1049,chr5;chr5,153889;155973,155792;156057,-;-,1989,0,6,12,0,59,0,44,0,59
GENE.105,chr1;chr1,59772;60023,59825;61003,+;+,1035,2964,2956,2953,2862,2603,160,921,160,2600
GENE.1050,chr5;chr5,157625;164635,164472;164968,+;+,7182,7456,7463,7363,7072,6672,424,2019,424,6598
GENE.1051,chr5;chr5;chr5;chr5;chr5,165650;165802;166043;166352;166547,165672;165922;166138;166459;166642,-;-;-;-;-,444,0,0,1,0,17,0,1,0,17
GENE.1052,chr5;chr5;chr5,167649;168444;169316,168244;169169;169502,+;+;+,1509,0,1,2,0,51,0,36,0,51
GENE.1053,chr5;chr5;chr5;chr5,169549;169706;169911;170271,169641;169768;170109;170590,-;-;-;-,675,0,0,2,0,11,0,2,0,11
GENE.1054,chr5,172150,174417,+,2268,3918,3887,3875,3654,3571,267,987,267,3570
GENE.1055,chr5;chr5;chr5;chr5;chr5;chr5,174989;175257;175413;175575;175859;176330,175113;175313;175499;175710;176177;176433,+;+;+;+;+;+,828,1758,1752,1721,1467,1232,91,542,91,1232
GENE.1056,chr5,177410,178555,+,1146,0,0,1,0,42,0,0,0,42
GENE.1057,chr5,180421,187470,+,7050,0,11,17,0,161,0,270,0,155
GENE.1058,chr5,187813,204732,-,16920,24234,25116,24694,22290,20619,1231,6171,1231,20582
GENE.1059,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,206450;206683;206897;207096;207376;207594;207784;208107;208297,206500;206752;206956;207172;207426;207607;207849;208157;208375,+;+;+;+;+;+;+;+;+,519,726,720,687,692,614,54,214,54,613
GENE.106,chr1;chr1,62187;63347,63185;63400,-;-,1053,1362,1372,1299,1224,1104,35,276,35,1104
GENE.1060,chr5;chr5,209062;209349,209148;218189,-;-,8928,22370,22848,22662,24998,19164,1245,6067,1245,19123
GENE.1061,chr5;chr5,220839;226063,225912;229253,+;+,8265,0,16,36,0,216,0,329,0,216
GENE.1062,chr5,230695,232392,+,1698,1718,1720,1700,1600,1508,81,449,81,1498
GENE.1063,chr5,233815,235650,+,1836,3246,3234,3235,3132,2931,186,923,186,2917
GENE.1064,chr5,236143,238365,-,2223,0,4,26,0,74,0,30,0,74
GENE.1065,chr5;chr5,239456;240644,240271;243880,-;-,4053,7856,7824,7756,7204,6602,352,1923,352,6599
GENE.1066,chr5,245933,246934,+,1002,0,2,6,0,41,0,1,0,41
GENE.1067,chr5,247801,250575,-,2775,15842,16069,15356,15054,13750,770,4122,739,13675
GENE.1068,chr5;chr5,252047;252420,252162;252606,-;-,303,0,0,1,0,15,0,1,0,15
GENE.1069,chr5;chr5;chr5;chr5;chr5;chr5,254473;254634;254801;255010;255271;255485,254502;254702;254885;255059;255384;255517,-;-;-;-;-;-,381,30,30,25,23,27,4,12,4,27
GENE.107,chr1;chr1,65817;66918,66821;66989,-;-,1077,802,827,833,778,793,34,233,34,792
GENE.1070,chr5;chr5;chr5,256225;256865;257245,256716;256979;257378,+;+;+,741,219,220,219,222,230,16,57,16,230
GENE.1071,chr5;chr5;chr5,257748;258083;258786,257792;258606;258831,-;-;-,615,566,566,561,491,481,20,118,20,481
GENE.1072,chr5,259764,260747,+,984,0,1,5,0,42,0,36,0,41
GENE.1073,chr5,260961,262184,-,1224,9832,9748,9358,7786,7181,258,2448,258,7163
GENE.1074,chr5;chr5;chr5;chr5;chr5,262672;262890;263120;263499;263782,262740;262922;263139;263583;263925,-;-;-;-;-,351,29,29,30,27,32,1,10,1,32
GENE.1075,chr5;chr5,265595;269251,268442;278345,+;+,11943,11820,11788,11645,11204,10616,758,3950,758,10516
GENE.1076,chr5;chr5;chr5;chr5;chr5;chr5,278774;278880;278919;279024;279156;279291,278877;278917;279022;279153;279289;279495,-;-;-;-;-;-,715,0,2,1,0,23,0,17,0,23
GENE.1077,chr5,280886,283345,+,2460,0,3,7,0,79,1,60,1,79
GENE.1078,chr5;chr5;chr5,284691;287382;287941,287139;287639;288023,+;+;+,2790,1880,1877,1894,1752,1699,109,763,109,1698
GENE.1079,chr5,288776,291055,-,2280,31634,31534,30919,29560,26899,2503,9058,2503,26885
GENE.108,chr1;chr1,69304;70349,70164;70417,-;-,930,0,3618,2211,4273,2932,222,59,222,2924
GENE.1080,chr5;chr5;chr5,292696;293111;293371,292799;293220;293474,-;-;-,318,0,8,47,0,118,0,213,0,118
GENE.1081,chr5,294668,295903,-,1236,62,64,70,60,108,2,13,2,108
GENE.1082,chr5,298427,300736,-,2310,12630,13423,13134,12284,11217,876,3118,876,11128
GENE.1083,chr5,301930,304611,-,2682,0,6,19,0,91,0,23,0,90
GENE.1084,chr5,305961,306422,-,462,388,384,374,318,285,2,70,2,285
GENE.1085,chr5,307490,309556,-,2067,0,3,9,0,64,1,51,1,64
GENE.1086,chr5,313199,315157,+,1959,6676,6664,6638,6534,6328,633,2372,633,6302
GENE.1087,chr5,316766,318361,-,1596,4352,4327,4242,3908,3626,226,1283,226,3626
GENE.1088,chr5,322239,326822,+,4584,0,11,22,0,145,0,272,0,143
GENE.1089,chr5;chr5;chr5,327656;327864;328175,327708;328022;328316,+;+;+,354,11,11,11,13,23,0,4,0,23
GENE.109,chr1;chr1,71624;71803,71692;72426,+;+,693,0,2564,1768,2756,2039,163,16,163,2039
GENE.1090,chr5,328666,329715,-,1050,70,72,71,62,106,5,27,5,106
GENE.1091,chr5,331680,336704,+,5025,11572,11561,11521,11330,11159,1013,3822,1013,11150
GENE.1092,chr5;chr5;chr5;chr5,337426;337923;338338;338700,337759;338160;338507;339025,-;-;-;-,1068,0,2,2,0,39,0,13,0,39
GENE.1093,chr5,342205,343233,+,1029,0,0,1,0,35,0,30,0,35
GENE.1094,chr5;chr5;chr5;chr5,344931;345182;345518;345971,344983;345374;345598;346744,+;+;+;+,1101,445,444,444,437,439,33,129,33,439
GENE.1095,chr5,347219,355039,-,7821,6418,6340,6300,5820,5604,414,1994,414,5598
GENE.1096,chr5,356222,357010,+,789,172,178,152,118,126,12,45,12,124
GENE.1097,chr5,358261,362733,+,4473,0,12,16,0,164,0,351,0,164
GENE.1098,chr5,363588,364442,-,855,0,3,5,0,20,1,44,1,20
GENE.1099,chr5,367022,376426,+,9405,0,42,82,0,342,0,533,0,328
GENE.11,chrM,734,1486,-,753,0,0,0,0,1,0,0,0,1
GENE.110,chr1;chr1,74563;74728,74631;75366,+;+,708,0,74,57,132,84,19,34,19,84
GENE.1100,chr5;chr5;chr5;chr5;chr5,376855;377372;377563;377844;378305,377223;377450;377740;377966;378452,-;-;-;-;-,897,595,594,590,586,608,55,261,55,608
GENE.1101,chr5,381077,386203,+,5127,15868,15790,15631,14922,14006,1042,4508,1042,14002
GENE.1102,chr5;chr5;chr5;chr5;chr5,386956;387141;387463;387787;388315,387013;387312;387625;388219;388505,+;+;+;+;+,1017,3772,3693,3427,2814,2185,96,643,96,2185
GENE.1103,chr5;chr5,388696;389096,388947;389191,-;-,348,0,2,4,0,12,0,2,0,12
GENE.1104,chr5;chr5;chr5,389914;390193;390474,390017;390309;398997,-;-;-,8745,10388,10342,10248,9418,8798,683,3213,683,8795
GENE.1105,chr5,401437,402771,+,1335,1806,1818,1792,1914,1822,76,516,76,1822
GENE.1106,chr5;chr5,403342;403775,403642;405642,+;+,2169,3014,2992,2981,2614,2365,104,863,104,2362
GENE.1107,chr5;chr5;chr5;chr5;chr5;chr5;chr5,405961;406200;406621;406814;407253;407449;407809,406098;406474;406697;407161;407321;407640;407897,-;-;-;-;-;-;-,1188,0,2,5,0,45,0,14,0,45
GENE.1108,chr5;chr5;chr5;chr5,410268;414540;415006;415210,414443;414855;415094;415308,+;+;+;+,4680,30402,30075,29794,28075,25524,2044,8568,2044,25482
GENE.1109,chr5,416365,417309,+,945,1746,1736,1722,1634,1562,92,437,92,1562
GENE.111,chr1,75982,76809,-,828,0,2619,1694,3466,2349,140,35,140,2349
GENE.1110,chr5;chr5;chr5;chr5;chr5;chr5;chr5,418136;418529;420021;420395;420738;421096;421363,418247;419857;420310;420620;420932;421229;421425,+;+;+;+;+;+;+,2349,7044,7888,7952,10067,7794,384,1788,384,7758
GENE.1111,chr5,422746,430353,-,7608,17594,17464,17160,15852,14515,952,4627,952,14482
GENE.1112,chr5,437495,439738,+,2244,10308,10271,10230,9884,9763,830,3256,830,9763
GENE.1113,chr5;chr5;chr5,440779;441380;441700,441233;441485;441879,-;-;-,741,638,637,630,584,615,37,229,37,615
GENE.1114,chr5,444260,445579,+,1320,4296,4280,4251,4074,4029,302,1093,302,4029
GENE.1115,chr5,445983,448502,-,2520,886,886,884,866,909,28,224,28,909
GENE.1116,chr5,451355,451434,+,80,0,0,0,0,2,0,0,0,2
GENE.1117,chr5,459301,460344,+,1044,2848,2836,2827,2632,2555,218,867,218,2555
GENE.1118,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,461017;461534;461814;462110;462319;462538;463327;463584;463781;464009;464167;464319,461317;461649;461965;462195;462392;463177;463487;463673;463868;464090;464224;464399,+;+;+;+;+;+;+;+;+;+;+;+,1929,1956,1949,1930,1802,1664,157,588,157,1664
GENE.1119,chr5,465782,465939,+,158,0,0,0,0,4,0,0,0,4
GENE.112,chr1;chr1;chr1,78241;79257;79526,79254;79523;79891,+;+;+,1647,2338,2962,2071,3046,2649,217,148,217,2649
GENE.1120,chr5,467585,468100,-,516,482,482,479,438,410,13,126,13,410
GENE.1121,chr5;chr5,469276;469565,469357;469842,+;+,360,0,1,3,0,7,0,16,0,7
GENE.1122,chr5;chr5,471055;472301,472146;474058,+;+,2850,0,4,7,0,67,0,76,0,67
GENE.1123,chr5;chr5,474487;478833,478690;478882,-;-,4254,0,30,36,0,146,0,103,0,143
GENE.1124,chr5,481423,482568,+,1146,1416,1405,1387,1262,1225,53,325,53,1225
GENE.1125,chr5,486602,516787,+,30186,61388,61028,60567,56688,52776,3940,18697,3940,52641
GENE.1126,chr5,517259,517885,-,627,274,276,277,270,245,17,98,17,243
GENE.1127,chr5;chr5;chr5;chr5,519129;519478;519718;519911,519293;519600;519801;520078,+;+;+;+,540,92,92,95,86,96,4,26,4,93
GENE.1128,chr5;chr5,520720;521655,521495;522693,-;-,1815,629,626,626,578,597,65,232,65,597
GENE.1129,chr5,525026,527218,+,2193,0,7,16,0,88,0,209,0,85
GENE.113,chr1;chr1,81765;83053,82820;83106,-;-,1110,0,155,150,172,161,23,34,23,161
GENE.1130,chr5;chr5;chr5;chr5;chr5,527639;527893;528161;528393;528619,527693;527963;528285;528453;528666,+;+;+;+;+,360,10,12,10,11,32,1,6,1,32
GENE.1131,chr5;chr5,528846;529099,528921;529409,-;-,387,2,2,3,2,17,0,1,0,17
GENE.1132,chr5,529934,531901,-,1968,23676,23497,23310,21994,20263,1647,5597,1647,20261
GENE.1133,chr5,533556,534338,-,783,212,213,213,210,282,34,88,34,282
GENE.1134,chr5,536273,536977,+,705,1612,1607,1609,1602,1498,123,494,123,1498
GENE.1135,chr5;chr5;chr5;chr5,539731;539905;540288;540533,539811;540081;540422;542593,-;-;-;-,2454,4758,4742,4725,4430,4202,355,1504,355,4201
GENE.1136,chr5;chr5;chr5;chr5;chr5;chr5,544540;544791;545126;545312;545507;545714,544553;544863;545221;545375;545582;545993,+;+;+;+;+;+,603,1160,1160,1155,1107,1063,91,329,91,1063
GENE.1137,chr5,546734,547579,-,846,1026,1017,1000,974,815,22,160,22,815
GENE.1138,chr5,548406,553340,-,4935,5396,5397,5353,5442,5051,406,1732,406,5049
GENE.1139,chr5,553990,554787,+,798,906,898,882,846,723,23,216,23,723
GENE.114,chr1;chr1;chr1,84791;85389;85880,85387;85877;86152,-;-;-,1359,922,3036,2566,3536,3168,387,208,387,3168
GENE.1140,chr5,555264,556073,+,810,418,419,419,588,431,48,156,48,431
GENE.1141,chr5;chr5;chr5,557039;557180;557889,557103;557746;558012,-;-;-,756,1554,1553,1550,1496,1440,68,401,68,1440
GENE.1142,chr5;chr5;chr5;chr5,559513;560974;568175;568343,560685;567971;568253;568384,+;+;+;+,8292,10657,10629,10542,9881,9086,590,2850,590,9079
GENE.1143,chr5,569182,569919,-,738,0,1,0,0,25,0,0,0,25
GENE.1144,chr5;chr5;chr5;chr5;chr5;chr5,571058;571547;571946;572187;572421;572610,571315;571822;572038;572285;572503;572661,-;-;-;-;-;-,861,0,2,0,0,60,0,47,0,60
GENE.1145,chr5;chr5,573588;573958,573671;574248,+;+,375,3,3,5,4,16,2,12,2,16
GENE.1146,chr5;chr5,574941;575870,575646;578505,-;-,3342,0,3,8,0,104,1,286,1,102
GENE.1147,chr5;chr5,581227;582525,581834;584124,+;+,2208,0,2,5,0,73,0,0,0,73
GENE.1148,chr5,585357,585980,-,624,2030,2022,2001,1934,1774,185,614,185,1774
GENE.1149,chr5;chr5,587752;588534,588354;588677,+;+,747,1618,1611,1601,1582,1507,123,587,123,1507
GENE.115,chr1;chr1,87203;88109,88003;88177,-;-,870,1736,2036,1809,2206,1919,148,294,148,1917
GENE.1150,chr5;chr5;chr5;chr5;chr5,588921;589187;590296;590508;590732,588991;590150;590407;590585;590769,-;-;-;-;-,1263,0,1,3,0,66,0,1,0,66
GENE.1151,chr5,591338,595663,-,4326,12066,11989,11994,11608,11207,739,3792,739,11148
GENE.1152,chr5,596818,599421,+,2604,0,6,16,0,87,0,98,0,81
GENE.1153,chr5,600047,603433,+,3387,0,22,36,0,103,0,161,0,102
GENE.1154,chr5,603951,604023,-,73,0,0,0,0,0,0,0,0,0
GENE.1155,chr5;chr5;chr5;chr5;chr5;chr5,605027;605225;605484;605681;605831;606147,605099;605318;605552;605723;606015;606330,-;-;-;-;-;-,648,443,443,437,446,444,31,120,31,444
GENE.1156,chr5;chr5;chr5;chr5;chr5,607105;607396;607758;608028;608428,607209;607647;607925;608189;608451,-;-;-;-;-,711,0,0,3,0,21,1,3,1,21
GENE.1157,chr5,610089,614771,+,4683,6148,6182,6011,5344,4952,365,1966,365,4865
GENE.1158,chr5,615282,617993,-,2712,32022,31834,31459,30318,26617,2317,8256,2317,26608
GENE.1159,chr5,618629,619945,+,1317,3332,3318,3313,3240,3074,184,980,184,3067
GENE.116,chr1;chr1,90242;91352,91204;91420,-;-,1032,2601,2591,2571,2415,2401,199,919,199,2399
GENE.1160,chr5,620810,623356,-,2547,0,7,7,0,108,0,46,0,108
GENE.1161,chr5;chr5;chr5,624719;624927;625168,624801;624996;626481,-;-;-,1467,0,1,3,0,42,0,59,0,42
GENE.1162,chr5;chr5,627298;627835,627599;627961,+;+,429,502,501,500,477,462,25,171,25,462
GENE.1163,chr5,628981,635382,+,6402,2310,2305,2295,2196,2138,117,779,117,2127
GENE.1164,chr5;chr5;chr5;chr5;chr5;chr5,637354;637474;637632;637821;638164;638411,637367;637516;637696;637951;638225;640381,+;+;+;+;+;+,2286,3290,3275,3269,3124,3147,263,1122,263,3142
GENE.1165,chr5;chr5;chr5;chr5,641137;641777;642798;643318,641556;642512;643156;644685,-;-;-;-,2883,4665,4631,4546,3822,3491,199,1482,199,3487
GENE.1166,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,646659;647065;647236;647536;647777;648068;649880;650893;651685;651847,646936;647116;647329;647626;647848;649584;650505;651600;651739;652106,+;+;+;+;+;+;+;+;+;+,3753,0,8,4,0,142,0,95,0,142
GENE.1167,chr5,653966,655336,-,1371,804,804,799,752,794,56,182,56,794
GENE.1168,chr5,658423,658677,-,255,0,0,1,0,15,0,0,0,15
GENE.1169,chr5,660150,661136,-,987,0,1,7,0,35,0,0,0,35
GENE.117,chr1;chr1;chr1,93113;93594;93689,93591;93686;93875,-;-;-,759,1316,1306,1225,1078,880,20,342,20,880
GENE.1170,chr5;chr5,663551;666819,666706;666917,+;+,3255,25430,25304,25007,23726,21782,1600,6573,1600,21758
GENE.1171,chr5;chr5,667486;674524,674350;674861,+;+,7203,25522,25448,25080,24128,22595,1426,7479,1426,22541
GENE.1172,chr5;chr5;chr5,675809;676023;676443,675914;676200;676614,-;-;-,456,31,31,31,34,44,3,11,3,44
GENE.1173,chr5,678910,680955,+,2046,3824,4119,3754,3466,2973,122,932,119,2815
GENE.1174,chr5,681430,682437,-,1008,0,4,11,0,40,0,5,0,38
GENE.1175,chr5;chr5;chr5;chr5;chr5;chr5,683708;684014;684254;684458;684669;685727,683807;684084;684357;684518;685528;685859,+;+;+;+;+;+,1329,6129,6106,5965,5160,5104,262,1629,262,5104
GENE.1176,chr5,686810,691642,-,4833,0,10,14,0,184,0,63,0,183
GENE.1177,chr5;chr5;chr5,694492;694773;695311,694616;695178;698778,+;+;+,3999,0,7,25,0,139,1,77,1,138
GENE.1178,chr5,700120,707256,-,7137,18960,18969,18732,16956,15795,970,4995,969,15762
GENE.1179,chr5;chr5,712762;713754,713525;713772,-;-,783,225,223,226,217,272,18,84,18,272
GENE.118,chr1;chr1;chr1;chr1,95050;95168;95205;95813,95166;95203;95810;95899,+;+;+;+,846,0,5,2,0,21,0,6,0,21
GENE.1180,chr5;chr5,715765;716639,716225;716675,-;-,498,856,853,842,817,683,26,154,26,683
GENE.1181,chr5,718425,719855,-,1431,436,430,424,382,375,20,128,20,375
GENE.1182,chr5,720743,722641,-,1899,3624,3521,3403,3208,2667,110,703,110,2662
GENE.1183,chr5;chr5,724681;725229,725054;725751,-;-,897,1826,1824,1795,1603,1442,33,431,33,1442
GENE.1184,chr5;chr5;chr5,731407;734832;735083,734613;734970;735162,+;+;+,3426,5016,4985,4933,4522,4341,268,1313,268,4335
GENE.1185,chr5,735887,738400,-,2514,0,5,10,0,109,0,3,0,109
GENE.1186,chr5,740156,741034,-,879,62,63,79,56,90,1,32,1,90
GENE.1187,chr5,743179,745329,+,2151,7626,7597,7493,7088,6877,421,1690,421,6877
GENE.1188,chr5;chr5,745798;746566,746445;746634,-;-,717,257,259,259,261,285,22,79,22,285
GENE.1189,chr5;chr5,747795;749358,749157;749677,-;-,1683,0,1,4,0,59,0,17,0,59
GENE.119,chr1;chr1,98819;99220,99013;102282,+;+,3258,0,60,40,6,60,2,169,2,58
GENE.1190,chr5;chr5;chr5;chr5;chr5;chr5,750661;751063;751510;751881;752071;752380,750730;751364;751718;751962;752164;752435,+;+;+;+;+;+,813,0,4,3,0,46,0,27,0,45
GENE.1191,chr5;chr5,753298;757326,757218;757544,+;+,4140,3836,3813,3757,3376,3307,189,974,189,3303
GENE.1192,chr5,758503,758898,-,396,0,0,1,0,15,0,0,0,15
GENE.1193,chr5;chr5;chr5;chr5,759831;760396;760579;760886,760262;760465;760686;760998,-;-;-;-,723,1223,1220,1190,1141,1106,122,388,122,1106
GENE.1194,chr5,762103,762792,-,690,602,602,592,526,534,25,207,25,534
GENE.1195,chr5,763532,766903,-,3372,2316,2314,2325,2220,2158,147,859,147,2154
GENE.1196,chr5,769310,773140,+,3831,0,5,11,0,159,0,115,0,158
GENE.1197,chr5;chr5;chr5;chr5;chr5,774075;776973;777406;777811;778110,776765;777209;777663;777980;780438,-;-;-;-;-,5685,20957,20989,19772,19137,16270,862,4972,860,16182
GENE.1198,chr5;chr5;chr5;chr5;chr5;chr5;chr5,783638;783762;783974;784193;784322;784540;784719,783654;783894;784039;784209;784411;784555;784991,-;-;-;-;-;-;-,612,0,0,0,0,35,0,0,0,35
GENE.1199,chr5;chr5;chr5,785664;786065;786312,785940;786118;786565,-;-;-,585,0,0,0,0,23,0,1,0,23
GENE.12,chrM,1516,1630,+,115,0,0,0,0,0,0,0,0,0
GENE.120,chr1;chr1,104704;104928,104775;105209,+;+,354,4,4,4,6,7,3,8,3,7
GENE.1200,chr5,788599,789480,+,882,0,0,2,0,36,0,0,0,36
GENE.1201,chr5,790399,790773,+,375,0,0,1,0,4,0,0,0,4
GENE.1202,chr5;chr5;chr5;chr5;chr5,791719;791916;792211;792420;792867,791786;792036;792290;792578;792936,-;-;-;-;-,498,0,0,0,0,14,0,0,0,14
GENE.1203,chr5,795527,797473,+,1947,2048,2045,1998,1992,1834,94,557,94,1831
GENE.1204,chr5;chr5,798036;798422,798083;798775,-;-,402,503,500,499,533,518,34,145,34,518
GENE.1205,chr5;chr5,801450;802624,802412;809127,-;-,7467,3799,3891,4028,3545,3460,254,1224,254,3441
GENE.1206,chr5,812648,814915,+,2268,0,2,11,0,80,0,52,0,80
GENE.1207,chr5;chr5;chr5,817066;818542;819005,817171;818879;819139,+;+;+,579,0,0,0,0,30,0,8,0,30
GENE.1208,chr5;chr5,820719;821525,821341;822908,-;-,2007,0,2,10,0,92,0,33,0,92
GENE.1209,chr5,825835,827412,-,1578,494,499,489,462,460,32,144,32,460
GENE.121,chr1,107197,108348,-,1152,6660,6589,6605,5950,5773,157,1630,157,5772
GENE.1210,chr5;chr5;chr5,828953;829232;829445,829015;829299;829883,+;+;+,570,197,197,195,218,227,17,60,17,227
GENE.1211,chr5;chr5;chr5;chr5;chr5;chr5,831617;833321;833542;833708;834089;834308,833152;833446;833605;833976;834178;834343,+;+;+;+;+;+,2121,0,0,3,0,60,0,4,0,60
GENE.1212,chr5,835314,837407,-,2094,0,5,18,0,110,0,76,0,110
