Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.1044,chr5,135004,135930,-,927,254,254,254,254,262,249,250,249,262
GENE.1045,chr5;chr5,140710;141311,140917;141471,+;+,369,0,0,0,0,2,0,0,0,2
GENE.1046,chr5,142871,145423,-,2553,1364,1364,1364,1372,1372,1248,1298,1248,1372
GENE.1047,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,146639;147092;147674;148065;148775;148974;149217;149481,146854;147490;147853;148651;148870;149106;149360;150131,-;-;-;-;-;-;-;-,2406,0,0,0,0,4,0,0,0,4
GENE.1048,chr5;chr5;chr5,151422;151823;152375,151619;151977;152384,-;-;-,363,5,5,5,5,6,5,5,5,6
GENE.1049,chr5;chr5,153889;155973,155792;156057,-;-,1989,0,0,0,0,4,0,0,0,4
GENE.105,chr1;chr1,59772;60023,59825;61003,+;+,1035,2844,2844,2844,2844,2862,2689,2745,2689,2862
GENE.1050,chr5;chr5,157625;164635,164472;164968,+;+,7182,7596,7596,7601,7706,7712,6789,7328,6770,7705
GENE.1051,chr5;chr5;chr5;chr5;chr5,165650;165802;166043;166352;166547,165672;165922;166138;166459;166642,-;-;-;-;-,444,0,0,0,0,2,0,0,0,2
GENE.1052,chr5;chr5;chr5,167649;168444;169316,168244;169169;169502,+;+;+,1509,0,0,0,0,7,0,0,0,7
GENE.1053,chr5;chr5;chr5;chr5,169549;169706;169911;170271,169641;169768;170109;170590,-;-;-;-,675,0,0,0,0,0,0,0,0,0
GENE.1054,chr5,172150,174417,+,2268,3714,3714,3714,3722,3743,3420,3565,3420,3743
GENE.1055,chr5;chr5;chr5;chr5;chr5;chr5,174989;175257;175413;175575;175859;176330,175113;175313;175499;175710;176177;176433,+;+;+;+;+;+,828,1826,1826,1826,1860,1954,1514,1729,1514,1954
GENE.1056,chr5,177410,178555,+,1146,0,0,1,0,3,0,0,0,3
GENE.1057,chr5,180421,187470,+,7050,0,0,5,0,14,4,146,4,14
GENE.1058,chr5,187813,204732,-,16920,23984,24248,25061,24048,25800,25728,22407,25723,25800
GENE.1059,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,206450;206683;206897;207096;207376;207594;207784;208107;208297,206500;206752;206956;207172;207426;207607;207849;208157;208375,+;+;+;+;+;+;+;+;+,519,776,776,776,816,791,599,758,599,791
GENE.106,chr1;chr1,62187;63347,63185;63400,-;-,1053,1314,1323,1332,1316,1498,930,1228,930,1498
GENE.1060,chr5;chr5,209062;209349,209148;218189,-;-,8928,21960,22124,22724,27654,23875,20852,20348,20845,23872
GENE.1061,chr5;chr5,220839;226063,225912;229253,+;+,8265,0,1,24,0,21,4,117,4,21
GENE.1062,chr5,230695,232392,+,1698,1792,1792,1795,1798,1803,1546,1733,1546,1803
GENE.1063,chr5,233815,235650,+,1836,3112,3112,3113,3134,3142,2763,2972,2763,3142
GENE.1064,chr5,236143,238365,-,2223,0,0,0,0,22,0,0,0,22
GENE.1065,chr5;chr5,239456;240644,240271;243880,-;-,4053,7481,7481,7482,7509,7676,6600,7059,6600,7676
GENE.1066,chr5,245933,246934,+,1002,0,0,2,0,9,0,0,0,9
GENE.1067,chr5,247801,250575,-,2775,15618,15632,15625,15814,16049,13603,13983,11013,16003
GENE.1068,chr5;chr5,252047;252420,252162;252606,-;-,303,0,0,0,0,2,0,0,0,2
GENE.1069,chr5;chr5;chr5;chr5;chr5;chr5,254473;254634;254801;255010;255271;255485,254502;254702;254885;255059;255384;255517,-;-;-;-;-;-,381,56,56,56,58,56,45,53,45,56
GENE.107,chr1;chr1,65817;66918,66821;66989,-;-,1077,926,931,957,930,1010,820,878,820,1010
GENE.1070,chr5;chr5;chr5,256225;256865;257245,256716;256979;257378,+;+;+,741,216,216,216,229,217,193,212,193,217
GENE.1071,chr5;chr5;chr5,257748;258083;258786,257792;258606;258831,-;-;-,615,540,540,540,541,544,537,538,537,544
GENE.1072,chr5,259764,260747,+,984,0,0,6,0,10,0,8,0,10
GENE.1073,chr5,260961,262184,-,1224,9726,9726,9727,10020,10010,8882,9416,8882,10010
GENE.1074,chr5;chr5;chr5;chr5;chr5,262672;262890;263120;263499;263782,262740;262922;263139;263583;263925,-;-;-;-;-,351,39,39,39,39,39,31,37,31,39
GENE.1075,chr5;chr5,265595;269251,268442;278345,+;+,11943,11802,11802,11827,12087,12118,10332,11576,10319,12112
GENE.1076,chr5;chr5;chr5;chr5;chr5;chr5,278774;278880;278919;279024;279156;279291,278877;278917;279022;279153;279289;279495,-;-;-;-;-;-,715,0,0,0,0,21,0,0,0,21
GENE.1077,chr5,280886,283345,+,2460,0,0,0,0,11,1,58,1,11
GENE.1078,chr5;chr5;chr5,284691;287382;287941,287139;287639;288023,+;+;+,2790,1851,1851,1857,1858,1874,1648,1777,1648,1874
GENE.1079,chr5,288776,291055,-,2280,31078,31078,31087,31314,32232,25471,28565,25428,32232
GENE.108,chr1;chr1,69304;70349,70164;70417,-;-,930,0,3860,3727,4779,4032,3578,65,3578,4032
GENE.1080,chr5;chr5;chr5,292696;293111;293371,292799;293220;293474,-;-;-,318,0,0,0,0,0,0,21,0,0
GENE.1081,chr5,294668,295903,-,1236,64,64,64,64,75,62,63,62,75
GENE.1082,chr5,298427,300736,-,2310,12772,12864,13580,15114,15303,11786,12459,11786,15284
GENE.1083,chr5,301930,304611,-,2682,0,1,2,0,10,1,87,1,10
GENE.1084,chr5,305961,306422,-,462,370,370,370,370,376,308,350,308,376
GENE.1085,chr5,307490,309556,-,2067,0,0,7,0,22,1,0,1,22
GENE.1086,chr5,313199,315157,+,1959,6738,6738,6738,6774,6767,6243,6609,6242,6767
GENE.1087,chr5,316766,318361,-,1596,4156,4156,4159,4174,4188,3873,3984,3873,4188
GENE.1088,chr5,322239,326822,+,4584,0,0,3,0,17,0,159,0,17
GENE.1089,chr5;chr5;chr5,327656;327864;328175,327708;328022;328316,+;+;+,354,5,5,5,5,8,5,5,5,8
GENE.109,chr1;chr1,71624;71803,71692;72426,+;+,693,0,2784,2544,3074,2853,1832,14,1832,2853
GENE.1090,chr5,328666,329715,-,1050,68,68,68,68,103,66,68,66,103
GENE.1091,chr5,331680,336704,+,5025,11680,11680,11680,11782,11824,10665,11179,10665,11824
GENE.1092,chr5;chr5;chr5;chr5,337426;337923;338338;338700,337759;338160;338507;339025,-;-;-;-,1068,0,0,0,0,2,0,0,0,2
GENE.1093,chr5,342205,343233,+,1029,0,0,0,0,5,0,0,0,5
GENE.1094,chr5;chr5;chr5;chr5,344931;345182;345518;345971,344983;345374;345598;346744,+;+;+;+,1101,485,485,485,491,494,438,482,438,494
GENE.1095,chr5,347219,355039,-,7821,6578,6483,6579,6622,6788,5885,6183,5885,6788
GENE.1096,chr5,356222,357010,+,789,142,142,142,144,162,123,132,123,144
GENE.1097,chr5,358261,362733,+,4473,0,0,2,0,17,1,228,1,17
GENE.1098,chr5,363588,364442,-,855,0,0,0,0,6,0,0,0,6
GENE.1099,chr5,367022,376426,+,9405,0,1,8,0,24,1,437,1,24
GENE.11,chrM,734,1486,-,753,0,0,0,0,0,0,0,0,0
GENE.110,chr1;chr1,74563;74728,74631;75366,+;+,708,0,40,32,86,50,54,17,54,50
GENE.1100,chr5;chr5;chr5;chr5;chr5,376855;377372;377563;377844;378305,377223;377450;377740;377966;378452,-;-;-;-;-,897,620,620,620,628,624,597,605,597,624
GENE.1101,chr5,381077,386203,+,5127,15766,15766,15770,15828,15865,14143,14989,14143,15864
GENE.1102,chr5;chr5;chr5;chr5;chr5,386956;387141;387463;387787;388315,387013;387312;387625;388219;388505,+;+;+;+;+,1017,3822,3822,3822,3937,3846,3373,3463,3373,3846
GENE.1103,chr5;chr5,388696;389096,388947;389191,-;-,348,0,0,0,0,1,0,0,0,1
GENE.1104,chr5;chr5;chr5,389914;390193;390474,390017;390309;398997,-;-;-,8745,10582,10583,10590,10624,10779,9386,10127,9368,10747
GENE.1105,chr5,401437,402771,+,1335,1604,1604,1604,1612,1620,1238,1458,1229,1618
GENE.1106,chr5;chr5,403342;403775,403642;405642,+;+,2169,3044,3044,3045,3058,3134,2788,2931,2788,3134
GENE.1107,chr5;chr5;chr5;chr5;chr5;chr5;chr5,405961;406200;406621;406814;407253;407449;407809,406098;406474;406697;407161;407321;407640;407897,-;-;-;-;-;-;-,1188,0,0,0,0,6,0,0,0,6
GENE.1108,chr5;chr5;chr5;chr5,410268;414540;415006;415210,414443;414855;415094;415308,+;+;+;+,4680,30003,29998,30008,30245,30501,26011,28259,25844,30455
GENE.1109,chr5,416365,417309,+,945,1556,1556,1557,1572,1572,1314,1498,1314,1572
GENE.111,chr1,75982,76809,-,828,0,3156,3066,4334,3101,3066,10,3066,3101
GENE.1110,chr5;chr5;chr5;chr5;chr5;chr5;chr5,418136;418529;420021;420395;420738;421096;421363,418247;419857;420310;420620;420932;421229;421425,+;+;+;+;+;+;+,2349,6896,6922,7844,10656,9788,8817,6482,8817,9788
GENE.1111,chr5,422746,430353,-,7608,17524,17517,17533,17598,18032,15278,16313,15274,18032
GENE.1112,chr5,437495,439738,+,2244,10378,10378,10378,10464,10668,8648,9861,8648,10668
GENE.1113,chr5;chr5;chr5,440779;441380;441700,441233;441485;441879,-;-;-,741,636,636,636,646,650,485,604,485,650
GENE.1114,chr5,444260,445579,+,1320,4388,4389,4388,4412,4461,4049,4285,4049,4461
GENE.1115,chr5,445983,448502,-,2520,874,874,874,878,894,782,824,782,894
GENE.1116,chr5,451355,451434,+,80,0,0,0,0,0,0,0,0,0
GENE.1117,chr5,459301,460344,+,1044,2918,2919,2918,2926,2958,2707,2766,2707,2958
GENE.1118,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,461017;461534;461814;462110;462319;462538;463327;463584;463781;464009;464167;464319,461317;461649;461965;462195;462392;463177;463487;463673;463868;464090;464224;464399,+;+;+;+;+;+;+;+;+;+;+;+,1929,2018,2018,2019,2046,2039,1886,1918,1886,2039
GENE.1119,chr5,465782,465939,+,158,0,0,0,0,4,0,0,0,4
GENE.112,chr1;chr1;chr1,78241;79257;79526,79254;79523;79891,+;+;+,1647,2376,2996,3119,3508,3272,3118,1149,3038,3272
GENE.1120,chr5,467585,468100,-,516,520,520,520,522,523,480,495,480,523
GENE.1121,chr5;chr5,469276;469565,469357;469842,+;+,360,2,2,2,2,3,2,2,2,3
GENE.1122,chr5;chr5,471055;472301,472146;474058,+;+,2850,0,0,0,0,33,0,0,0,33
GENE.1123,chr5;chr5,474487;478833,478690;478882,-;-,4254,0,0,6,0,48,0,1,0,48
GENE.1124,chr5,481423,482568,+,1146,1390,1390,1390,1394,1400,1235,1260,1235,1400
GENE.1125,chr5,486602,516787,+,30186,61164,61166,61243,61554,62481,53875,59559,53875,62477
GENE.1126,chr5,517259,517885,-,627,280,281,282,284,284,265,258,265,284
GENE.1127,chr5;chr5;chr5;chr5,519129;519478;519718;519911,519293;519600;519801;520078,+;+;+;+,540,83,83,83,83,83,80,80,80,83
GENE.1128,chr5;chr5,520720;521655,521495;522693,-;-,1815,690,690,690,706,707,607,649,607,707
GENE.1129,chr5,525026,527218,+,2193,0,0,2,0,6,0,7,0,6
GENE.113,chr1;chr1,81765;83053,82820;83106,-;-,1110,0,150,143,165,152,163,24,163,152
GENE.1130,chr5;chr5;chr5;chr5;chr5,527639;527893;528161;528393;528619,527693;527963;528285;528453;528666,+;+;+;+;+,360,16,16,16,16,16,15,15,15,16
GENE.1131,chr5;chr5,528846;529099,528921;529409,-;-,387,0,0,0,0,2,0,0,0,2
GENE.1132,chr5,529934,531901,-,1968,22986,22986,22986,23062,23076,20277,22079,20277,23076
GENE.1133,chr5,533556,534338,-,783,270,270,270,272,271,218,259,218,271
GENE.1134,chr5,536273,536977,+,705,1658,1658,1658,1668,1704,1495,1585,1495,1704
GENE.1135,chr5;chr5;chr5;chr5,539731;539905;540288;540533,539811;540081;540422;542593,-;-;-;-,2454,4887,4885,4889,4937,5083,3962,4561,3962,5083
GENE.1136,chr5;chr5;chr5;chr5;chr5;chr5,544540;544791;545126;545312;545507;545714,544553;544863;545221;545375;545582;545993,+;+;+;+;+;+,603,1037,1037,1037,1066,1039,994,982,994,1039
GENE.1137,chr5,546734,547579,-,846,1078,1078,1080,1086,1097,907,1020,907,1097
GENE.1138,chr5,548406,553340,-,4935,5722,5724,5727,6016,5906,5266,5479,5266,5906
GENE.1139,chr5,553990,554787,+,798,720,720,720,728,723,658,689,658,723
GENE.114,chr1;chr1;chr1,84791;85389;85880,85387;85877;86152,-;-;-,1359,970,2790,3137,3568,2941,2982,528,2982,2941
GENE.1140,chr5,555264,556073,+,810,362,362,362,362,364,352,358,352,364
GENE.1141,chr5;chr5;chr5,557039;557180;557889,557103;557746;558012,-;-;-,756,1611,1611,1611,1627,1645,1262,1536,1262,1645
GENE.1142,chr5;chr5;chr5;chr5,559513;560974;568175;568343,560685;567971;568253;568384,+;+;+;+,8292,10609,10567,10641,10819,10964,9225,10145,9225,10964
GENE.1143,chr5,569182,569919,-,738,0,0,0,0,2,0,0,0,2
GENE.1144,chr5;chr5;chr5;chr5;chr5;chr5,571058;571547;571946;572187;572421;572610,571315;571822;572038;572285;572503;572661,-;-;-;-;-;-,861,0,0,2,0,15,1,0,1,15
GENE.1145,chr5;chr5,573588;573958,573671;574248,+;+,375,8,8,8,9,8,8,8,8,8
GENE.1146,chr5;chr5,574941;575870,575646;578505,-;-,3342,0,0,1,0,8,0,14,0,8
GENE.1147,chr5;chr5,581227;582525,581834;584124,+;+,2208,0,0,1,0,20,0,27,0,20
GENE.1148,chr5,585357,585980,-,624,1980,1980,1980,1986,1982,1937,1944,1937,1982
GENE.1149,chr5;chr5,587752;588534,588354;588677,+;+,747,1663,1663,1663,1683,1717,1516,1627,1516,1717
GENE.115,chr1;chr1,87203;88109,88003;88177,-;-,870,1736,1994,2028,2298,2081,1736,1136,1736,2081
GENE.1150,chr5;chr5;chr5;chr5;chr5,588921;589187;590296;590508;590732,588991;590150;590407;590585;590769,-;-;-;-;-,1263,0,0,0,0,5,0,0,0,5
GENE.1151,chr5,591338,595663,-,4326,11824,11824,11829,11988,11932,10740,11373,10740,11931
GENE.1152,chr5,596818,599421,+,2604,0,2,4,0,28,0,2,0,7
GENE.1153,chr5,600047,603433,+,3387,0,2,7,0,12,0,42,0,12
GENE.1154,chr5,603951,604023,-,73,0,0,0,0,0,0,0,0,0
GENE.1155,chr5;chr5;chr5;chr5;chr5;chr5,605027;605225;605484;605681;605831;606147,605099;605318;605552;605723;606015;606330,-;-;-;-;-;-,648,431,431,431,447,432,422,412,422,432
GENE.1156,chr5;chr5;chr5;chr5;chr5,607105;607396;607758;608028;608428,607209;607647;607925;608189;608451,-;-;-;-;-,711,0,0,0,0,2,0,0,0,2
GENE.1157,chr5,610089,614771,+,4683,6340,6341,6346,6436,6544,5628,6232,5426,6492
GENE.1158,chr5,615282,617993,-,2712,31960,31960,31960,32076,32464,27246,29931,27246,32380
GENE.1159,chr5,618629,619945,+,1317,3306,3306,3306,3318,3387,2910,3160,2910,3387
GENE.116,chr1;chr1,90242;91352,91204;91420,-;-,1032,2657,2659,2657,2657,2753,2390,2572,2390,2753
GENE.1160,chr5,620810,623356,-,2547,0,0,1,0,9,0,30,0,9
GENE.1161,chr5;chr5;chr5,624719;624927;625168,624801;624996;626481,-;-;-,1467,0,0,0,0,4,0,0,0,4
GENE.1162,chr5;chr5,627298;627835,627599;627961,+;+,429,372,372,378,372,376,343,358,343,376
GENE.1163,chr5,628981,635382,+,6402,2308,2308,2308,2318,2363,2086,2250,2084,2363
GENE.1164,chr5;chr5;chr5;chr5;chr5;chr5,637354;637474;637632;637821;638164;638411,637367;637516;637696;637951;638225;640381,+;+;+;+;+;+,2286,3155,3156,3157,3192,3211,2962,3035,2962,3211
GENE.1165,chr5;chr5;chr5;chr5,641137;641777;642798;643318,641556;642512;643156;644685,-;-;-;-,2883,4801,4801,4801,4831,4876,4192,4601,4192,4876
GENE.1166,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,646659;647065;647236;647536;647777;648068;649880;650893;651685;651847,646936;647116;647329;647626;647848;649584;650505;651600;651739;652106,+;+;+;+;+;+;+;+;+;+,3753,0,0,0,0,22,9,0,9,22
GENE.1167,chr5,653966,655336,-,1371,876,876,876,876,881,831,844,831,881
GENE.1168,chr5,658423,658677,-,255,0,0,9,0,0,0,0,0,0
GENE.1169,chr5,660150,661136,-,987,0,0,0,0,4,0,0,0,4
GENE.117,chr1;chr1;chr1,93113;93594;93689,93591;93686;93875,-;-;-,759,1290,1290,1290,1300,1327,880,1166,880,1327
GENE.1170,chr5;chr5,663551;666819,666706;666917,+;+,3255,25604,25604,25606,25728,25956,23281,24691,23056,25956
GENE.1171,chr5;chr5,667486;674524,674350;674861,+;+,7203,26221,26222,26225,26727,26675,22596,24936,22586,26663
GENE.1172,chr5;chr5;chr5,675809;676023;676443,675914;676200;676614,-;-;-,456,30,30,30,34,31,30,30,30,31
GENE.1173,chr5,678910,680955,+,2046,3850,3863,3853,4020,3916,3701,3668,2822,3884
GENE.1174,chr5,681430,682437,-,1008,0,0,1,0,4,1,0,0,4
GENE.1175,chr5;chr5;chr5;chr5;chr5;chr5,683708;684014;684254;684458;684669;685727,683807;684084;684357;684518;685528;685859,+;+;+;+;+;+,1329,5925,5925,5925,6025,5947,5710,5749,5710,5947
GENE.1176,chr5,686810,691642,-,4833,0,0,0,0,13,1,0,1,13
GENE.1177,chr5;chr5;chr5,694492;694773;695311,694616;695178;698778,+;+;+,3999,0,0,0,0,22,1,13,1,19
GENE.1178,chr5,700120,707256,-,7137,19348,19349,19414,19694,19835,17671,17896,17347,19741
GENE.1179,chr5;chr5,712762;713754,713525;713772,-;-,783,250,250,251,252,257,234,238,234,257
GENE.118,chr1;chr1;chr1;chr1,95050;95168;95205;95813,95166;95203;95810;95899,+;+;+;+,846,0,0,1,0,12,0,0,0,12
GENE.1180,chr5;chr5,715765;716639,716225;716675,-;-,498,795,795,795,797,808,780,786,780,808
GENE.1181,chr5,718425,719855,-,1431,414,414,413,418,421,368,385,368,421
GENE.1182,chr5,720743,722641,-,1899,3578,3578,3580,3584,3642,3263,3436,3263,3642
GENE.1183,chr5;chr5,724681;725229,725054;725751,-;-,897,1750,1750,1751,1768,1763,1622,1705,1622,1763
GENE.1184,chr5;chr5;chr5,731407;734832;735083,734613;734970;735162,+;+;+,3426,5075,5075,5080,5133,5140,4764,4915,4764,5140
GENE.1185,chr5,735887,738400,-,2514,0,0,0,0,11,0,1,0,11
GENE.1186,chr5,740156,741034,-,879,54,54,54,54,55,51,52,51,55
GENE.1187,chr5,743179,745329,+,2151,7772,7772,7773,7788,7874,6861,7553,6861,7874
GENE.1188,chr5;chr5,745798;746566,746445;746634,-;-,717,274,274,274,278,284,257,263,257,284
GENE.1189,chr5;chr5,747795;749358,749157;749677,-;-,1683,0,0,0,0,4,0,0,0,4
GENE.119,chr1;chr1,98819;99220,99013;102282,+;+,3258,0,0,0,0,6,0,5,0,6
GENE.1190,chr5;chr5;chr5;chr5;chr5;chr5,750661;751063;751510;751881;752071;752380,750730;751364;751718;751962;752164;752435,+;+;+;+;+;+,813,0,0,0,0,2,0,0,0,2
GENE.1191,chr5;chr5,753298;757326,757218;757544,+;+,4140,3900,3900,3902,3948,4008,3644,3791,3415,4000
GENE.1192,chr5,758503,758898,-,396,0,0,0,0,2,0,0,0,2
GENE.1193,chr5;chr5;chr5;chr5,759831;760396;760579;760886,760262;760465;760686;760998,-;-;-;-,723,1349,1349,1351,1366,1360,1260,1313,1260,1360
GENE.1194,chr5,762103,762792,-,690,590,590,590,592,600,514,564,514,600
GENE.1195,chr5,763532,766903,-,3372,2350,2350,2356,2420,2377,2052,2148,2052,2377
GENE.1196,chr5,769310,773140,+,3831,0,1,0,0,10,0,20,0,10
GENE.1197,chr5;chr5;chr5;chr5;chr5,774075;776973;777406;777811;778110,776765;777209;777663;777980;780438,-;-;-;-;-,5685,20870,20872,20984,21622,21477,19045,19115,19029,21441
GENE.1198,chr5;chr5;chr5;chr5;chr5;chr5;chr5,783638;783762;783974;784193;784322;784540;784719,783654;783894;784039;784209;784411;784555;784991,-;-;-;-;-;-;-,612,0,0,0,0,0,0,0,0,0
GENE.1199,chr5;chr5;chr5,785664;786065;786312,785940;786118;786565,-;-;-,585,0,0,0,0,2,0,0,0,2
GENE.12,chrM,1516,1630,+,115,0,0,0,0,0,0,0,0,0
GENE.120,chr1;chr1,104704;104928,104775;105209,+;+,354,10,10,10,11,11,10,10,10,11
GENE.1200,chr5,788599,789480,+,882,0,0,0,0,3,0,0,0,3
GENE.1201,chr5,790399,790773,+,375,0,0,0,0,1,0,0,0,1
GENE.1202,chr5;chr5;chr5;chr5;chr5,791719;791916;792211;792420;792867,791786;792036;792290;792578;792936,-;-;-;-;-,498,0,0,0,0,2,0,0,0,2
GENE.1203,chr5,795527,797473,+,1947,1974,1974,1977,1996,1995,1675,1876,1675,1995
GENE.1204,chr5;chr5,798036;798422,798083;798775,-;-,402,480,479,480,497,482,454,460,454,482
GENE.1205,chr5;chr5,801450;802624,802412;809127,-;-,7467,3954,3954,3970,4020,4089,3606,3739,3571,4043
GENE.1206,chr5,812648,814915,+,2268,0,0,2,0,8,0,17,0,8
GENE.1207,chr5;chr5;chr5,817066;818542;819005,817171;818879;819139,+;+;+,579,0,0,0,0,0,0,0,0,0
GENE.1208,chr5;chr5,820719;821525,821341;822908,-;-,2007,0,0,1,0,9,0,2,0,9
GENE.1209,chr5,825835,827412,-,1578,554,554,555,570,569,440,529,440,569
GENE.121,chr1,107197,108348,-,1152,6530,6530,6531,6594,6645,5982,6299,5982,6645
