Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.100061,chr7,73643714,73645016,-,1303,421,441,389,419,249,14,101,14,249
GENE.100086,chr7,73957090,73957546,+,457,11,11,11,11,9,4,6,4,9
GENE.100087,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73960090;73969504;73969768;73971969;73973191;73973957;74004180;74005154;74009341;74015371;74016692,73960139;73969553;73969824;73972052;73973374;73973985;74004257;74005346;74009378;74015507;74016911,+;+;+;+;+;+;+;+;+;+;+,1120,429,422,418,422,313,46,171,46,313
GENE.100113,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,74114577;74114936;74119496;74120721;74125363;74129180;74131214;74133198;74143124,74114760;74114964;74119550;74120764;74125440;74129236;74131270;74133260;74143147,+;+;+;+;+;+;+;+;+,591,618,609,593,564,342,57,141,57,342
GENE.100129,chr7;chr7,74167146;74168178,74167509;74168398,+;+,585,415,401,401,403,293,20,60,20,293
GENE.100137,chr7,74172554,74174442,+,1889,812,881,704,880,640,36,38,36,640
GENE.100139,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,74188278;74191613;74193428;74193603;74195126;74197282;74197868;74199528;74202328;74202903;74203383,74188450;74191693;74193503;74193768;74195181;74197404;74197975;74199645;74202432;74203048;74203729,+;+;+;+;+;+;+;+;+;+;+,1499,600,565,535,621,507,66,119,66,507
GENE.10015,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,40839354;40872408;40874325;40875429;40878688;40879831;40880944;40881848;40882452;40887648,40839895;40872541;40874410;40875507;40878774;40879912;40881053;40882013;40882768;40889002,+;+;+;+;+;+;+;+;+;+,2958,451,445,442,424,323,35,134,35,323
GENE.100160,chr7,74242634,74243141,-,508,12,17,12,16,8,2,2,2,8
GENE.100188,chr7;chr7,74306913;74307375,74306965;74308521,+;+,1200,36,82,69,95,62,25,17,25,62
GENE.100208,chr7,74393521,74394071,+,551,48,69,40,54,45,13,2,13,45
GENE.100211,chr7;chr7;chr7;chr7;chr7;chr7,74422054;74431766;74432158;74433140;74434207;74436042,74422230;74431959;74432290;74433263;74434317;74436636,+;+;+;+;+;+,1334,281,343,253,323,250,37,30,37,250
GENE.100218,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,74456293;74456945;74466818;74470008;74471636;74474400;74477020;74479107;74480395,74456555;74457217;74466903;74470181;74471723;74474581;74477104;74479158;74480545,-;-;-;-;-;-;-;-;-,1354,61,74,67,74,46,7,12,7,46
GENE.100233,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,74510441;74524752;74528191;74536692;74538937;74539289;74541717;74542143,74510820;74524855;74528329;74536811;74539120;74539317;74541771;74542766,+;+;+;+;+;+;+;+,1635,108,252,140,233,170,25,21,25,170
GENE.100238,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,74540190;74542143;74548943;74550811;74552592;74554758;74556910;74558289;74559757;74563500,74541771;74542186;74549020;74550867;74552657;74554835;74556993;74558472;74559785;74565623,+;+;+;+;+;+;+;+;+;+,4326,1043,1006,699,1031,705,44,96,44,705
GENE.100242,chr7;chr7;chr7,74558431;74559757;74563500,74558472;74559800;74563915,+;+;+,502,173,166,146,181,140,15,12,15,140
GENE.100245,chr7,74576161,74576839,-,679,13,22,19,50,19,4,6,4,19
GENE.100246,chr7;chr7;chr7;chr7;chr7;chr7,74580146;74580929;74582342;74582607;74584438;74587676,74580216;74580984;74582507;74582682;74584516;74587768,-;-;-;-;-;-,541,44,96,68,122,69,21,32,21,69
GENE.100248,chr7;chr7;chr7;chr7;chr7,74582370;74582607;74584365;74586898;74587676,74582507;74582682;74584516;74587015;74587767,-;-;-;-;-,576,42,93,64,113,72,20,13,20,72
GENE.100254,chr7;chr7;chr7,74601684;74602963;74604934,74602248;74603837;74604950,-;-;-,1457,13,655,457,423,527,38,62,38,527
GENE.100255,chr7,74601684,74603944,-,2261,20,761,516,552,599,45,67,45,599
GENE.100267,chr7;chr7;chr7,74617733;74623676;74625097,74618329;74623734;74625277,-;-;-,837,144,370,179,215,121,14,30,14,121
GENE.100274,chr7;chr7,74648630;74649436,74648716;74649628,+;+,280,0,9,8,7,10,2,0,2,9
GENE.100279,chr7,74679530,74680693,-,1164,0,3,3,8,3,3,0,3,3
GENE.100285,chr7;chr7;chr7;chr7;chr7,74698189;74699716;74701507;74701873;74702831,74698488;74699801;74701750;74701977;74704299,+;+;+;+;+,2204,10,409,442,711,479,168,23,168,479
GENE.100296,chr7;chr7,74802268;74804041,74802682;74804168,-;-,543,127,120,66,146,75,12,19,12,75
GENE.10030,chr1;chr1;chr1;chr1;chr1,40915848;40919875;40922617;40923016;40928093,40916760;40919960;40922743;40923111;40929388,+;+;+;+;+,2518,291,288,280,289,212,26,78,26,212
GENE.100300,chr7,74852326,74852870,-,545,11,57,28,55,40,11,2,11,40
GENE.100301,chr7;chr7,74855187;74855978,74855617;74856152,+;+,606,18,19,15,19,17,10,0,10,17
GENE.100308,chr7,74896292,74896962,+,671,10,17,10,10,11,4,0,4,11
GENE.100314,chr7,74913502,74913863,+,362,4,47,46,89,42,22,11,22,42
GENE.100327,chr7,74972099,74972509,+,411,20,68,76,126,78,28,20,28,78
GENE.100329,chr7;chr7;chr7;chr7;chr7,74973227;74977922;74981057;74984790;74988198,74973330;74978010;74981240;74984929;74988249,-;-;-;-;-,569,306,416,332,925,496,89,37,89,495
GENE.100330,chr7;chr7;chr7;chr7;chr7;chr7,74977246;74981057;74982537;74982816;74984790;74988198,74978010;74981240;74982639;74982902;74984929;74988249,-;-;-;-;-;-,1331,491,694,476,1341,671,131,80,131,666
GENE.100333,chr7;chr7;chr7;chr7,74982850;74984790;74987566;74988198,74982902;74984929;74987789;74988228,-;-;-;-,448,154,230,173,461,239,25,17,25,239
GENE.100360,chr7,75002026,75002689,+,664,8,11,2,4,0,0,0,0,0
GENE.100361,chr7,75003199,75004320,+,1122,0,19,8,8,8,4,4,4,8
GENE.100369,chr7,75018257,75018917,+,661,0,16,14,17,13,0,0,0,13
GENE.100370,chr7,75020203,75020800,+,598,0,17,0,0,0,0,0,0,0
GENE.100372,chr7;chr7,75021235;75024247,75021516;75024524,+;+,560,22,36,33,35,28,4,13,4,28
GENE.100382,chr7;chr7;chr7;chr7;chr7,75024903;75028200;75032928;75034122;75034465,75025084;75028616;75033023;75034352;75034889,+;+;+;+;+,1351,436,361,283,450,245,23,71,23,245
GENE.100385,chr7;chr7,75030903;75034465,75034352;75034888,+;+,3874,231,228,121,237,117,24,33,24,117
GENE.100389,chr7;chr7;chr7;chr7;chr7;chr7;chr7,75039624;75039889;75042067;75044398;75044870;75045554;75045765,75039743;75041042;75044301;75044512;75045469;75045694;75046071,+;+;+;+;+;+;+,4672,584,697,619,844,574,73,138,73,574
GENE.100401,chr7;chr7;chr7;chr7;chr7;chr7,75039654;75039889;75044163;75044398;75044870;75045259,75039743;75040009;75044301;75044512;75045056;75045420,+;+;+;+;+;+,814,348,359,327,415,305,34,80,34,305
GENE.100404,chr7;chr7;chr7;chr7,75039675;75040691;75040938;75042067,75039743;75040857;75041042;75042310,+;+;+;+,585,71,117,86,127,82,13,21,13,82
GENE.100405,chr7;chr7;chr7;chr7;chr7;chr7,75039678;75044163;75044398;75045259;75045381;75045554,75039743;75044301;75044512;75045308;75045469;75046065,+;+;+;+;+;+,971,278,304,292,373,260,35,78,35,260
GENE.100410,chr7;chr7;chr7,75044059;75044398;75044874,75044301;75044512;75045156,+;+;+,641,185,184,177,218,161,21,62,21,161
GENE.100411,chr7;chr7,75045567;75045765,75045698;75046070,+;+,438,95,106,104,135,87,10,22,10,87
GENE.100413,chr7,75046066,75049786,-,3721,142,148,130,130,108,12,25,12,108
GENE.100417,chr7,75054154,75054387,-,234,0,2,0,0,0,0,1,0,0
GENE.100429,chr7,75122091,75123024,-,934,12,18,10,26,8,2,1,2,8
GENE.100440,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75137070;75140253;75141913;75143970;75145043;75145420;75155234;75156895,75137189;75140436;75141999;75144109;75145153;75145546;75155292;75157381,-;-;-;-;-;-;-;-,1315,0,37,11,27,34,8,22,8,34
GENE.100466,chr7;chr7;chr7,75508359;75510683;75511147,75508578;75510808;75512076,+;+;+,1276,259,250,253,250,159,5,28,5,159
GENE.100468,chr7,75508370,75509992,+,1623,129,128,126,130,97,8,42,8,97
GENE.10048,chr1;chr1;chr1;chr1,40974434;40975123;40975405;40980187,40974561;40975297;40975462;40980547,+;+;+;+,722,284,283,283,263,194,17,81,17,194
GENE.100483,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75544483;75583307;75601731;75608769;75609657;75610835;75611542;75612838;75613056;75614095;75614376;75614897;75615241;75615477;75615655,75544497;75583498;75601779;75608897;75609806;75610924;75611640;75612954;75613174;75614276;75614525;75615167;75615386;75615559;75616172,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2310,648,648,642,641,479,57,207,57,479
GENE.100486,chr7;chr7;chr7;chr7;chr7,75544505;75583307;75601731;75608769;75609657,75544527;75583498;75601779;75608897;75609806,+;+;+;+;+,543,106,106,103,93,59,4,26,4,59
GENE.100501,chr7;chr7;chr7;chr7,75614784;75615241;75615477;75615655,75615167;75615386;75615559;75616173,+;+;+;+,1132,350,350,350,367,292,36,120,36,292
GENE.100503,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75616301;75616856;75617036;75617241;75617401;75617739;75618483;75621462;75621757;75623808,75616746;75616920;75617128;75617302;75617659;75617834;75618542;75621578;75621875;75623934,-;-;-;-;-;-;-;-;-;-,1444,626,614,612,597,398,54,211,54,398
GENE.100509,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75616308;75616678;75617036;75617570;75617739;75618483;75621462;75621757;75623808,75616541;75616746;75617128;75617659;75617834;75618542;75621578;75621875;75623913,-;-;-;-;-;-;-;-;-,984,588,572,568,548,360,46,200,46,360
GENE.100511,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75616328;75616678;75616856;75617036;75617241;75617401;75617739;75618483;75621462;75621757;75623808,75616603;75616746;75616920;75617128;75617302;75617659;75617834;75618542;75621578;75621875;75623974,-;-;-;-;-;-;-;-;-;-;-,1383,628,617,615,600,401,54,212,54,401
GENE.100515,chr7;chr7;chr7;chr7;chr7;chr7;chr7,75630311;75633076;75634577;75651169;75657960;75659739;75676980,75630320;75633173;75634722;75651310;75658021;75659845;75677120,-;-;-;-;-;-;-,706,345,342,328,347,244,41,134,41,244
GENE.100520,chr7,75673295,75675397,-,2103,133,134,125,139,89,15,38,15,89
GENE.100524,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,75677369;75686728;75687287;75689691;75692833;75693657;75694120;75695597,75677544;75686811;75687396;75689816;75692910;75693756;75694271;75696826,+;+;+;+;+;+;+;+,2056,163,162,162,159,129,14,58,14,129
GENE.100537,chr7;chr7;chr7,75864359;75877506;75889224,75864617;75877607;75889365,+;+;+,503,123,121,123,123,95,12,49,12,95
GENE.100577,chr7;chr7;chr7;chr7;chr7;chr7,76121313;76129758;76131615;76132743;76133673;76134691,76121570;76129837;76131773;76132904;76133762;76135305,+;+;+;+;+;+,1364,240,255,228,249,158,11,54,11,158
GENE.100580,chr7,76131500,76131983,+,484,56,60,50,52,29,1,10,1,29
GENE.100587,chr7;chr7;chr7;chr7,76163290;76165489;76166810;76169445,76163436;76165574;76166868;76169756,-;-;-;-,604,60,138,108,113,125,24,17,24,118
GENE.10060,chr1;chr1;chr1;chr1;chr1,40997335;40998815;41006258;41007287;41010069,40997459;40998853;41006384;41007382;41010707,+;+;+;+;+,1026,79,82,79,85,58,6,19,6,56
GENE.100602,chr7,76207001,76209124,+,2124,202,209,191,200,136,16,45,16,136
GENE.10061,chr1;chr1;chr1,40997394;40998815;41012234,40997459;40998853;41013457,+;+;+,1329,101,100,99,91,79,7,29,7,79
GENE.100621,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,76589086;76607845;76609938;76619586;76624772;76629626;76631480;76632606,76589266;76608193;76610577;76619686;76624912;76629705;76631638;76632667,+;+;+;+;+;+;+;+,1713,200,224,183,250,142,11,55,11,140
GENE.100626,chr7;chr7;chr7;chr7;chr7,76589140;76590974;76603854;76604528;76607845,76589266;76591138;76603965;76604604;76607910,+;+;+;+;+,547,103,111,104,108,87,23,34,23,87
GENE.100631,chr7;chr7;chr7;chr7,76589152;76604528;76607845;76609938,76589266;76604604;76608193;76609959,+;+;+;+,563,81,87,77,84,63,8,22,8,63
GENE.100649,chr7;chr7,76631072;76633535,76631638;76633691,+;+,724,124,121,109,117,60,8,33,8,60
GENE.100653,chr7;chr7;chr7;chr7,76645089;76669268;76671294;76672912,76645172;76669406;76671380;76673001,+;+;+;+,400,53,161,117,101,145,66,27,66,144
GENE.100659,chr7,76659455,76660934,+,1480,480,421,345,538,390,83,62,83,390
GENE.100662,chr7;chr7,76672772;76676146,76673095;76676227,+;+,406,6,96,82,59,113,44,19,44,113
GENE.100669,chr7,76686709,76687431,-,723,157,125,125,258,123,26,29,26,123
GENE.100671,chr7,76689611,76690757,+,1147,0,19,8,28,8,9,7,9,8
GENE.100673,chr7;chr7;chr7;chr7;chr7;chr7;chr7,76713211;76723319;76728227;76739255;76742708;76748834;76750983,76713338;76723414;76728268;76739393;76742800;76748943;76751609,-;-;-;-;-;-;-,1235,0,131,81,186,81,6,16,6,81
GENE.100677,chr7,76745222,76746289,-,1068,60,79,68,110,56,18,27,18,56
GENE.100683,chr7;chr7;chr7;chr7,76871660;76883823;76885650;76888312,76871747;76883880;76885826;76888606,+;+;+;+,618,124,123,123,122,105,13,42,13,105
GENE.100699,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,76943691;76950042;76950650;76955529;76957923;76958650;76959556;76978668,76943806;76950136;76950720;76955590;76957954;76958708;76959684;76978685,-;-;-;-;-;-;-;-,582,319,316,294,289,154,14,73,14,154
GENE.100708,chr7;chr7;chr7;chr7;chr7,77044514;77051084;77052771;77053949;77054528,77044665;77051181;77052922;77053994;77054759,+;+;+;+;+,680,28,27,27,29,22,4,8,4,22
GENE.10071,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,41157242;41204508;41213206;41215245;41218823;41223793;41228560;41232268;41235028;41236384,41157539;41204620;41213277;41215358;41218918;41223966;41228718;41232375;41235087;41237273,+;+;+;+;+;+;+;+;+;+,2084,1659,1644,1574,1642,1003,99,487,99,1003
GENE.100716,chr7,77229539,77230523,-,985,146,141,142,155,101,10,40,10,101
GENE.10072,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,41157242;41204508;41213206;41215245;41218823;41223793;41228560;41232268;41235028;41236381,41157539;41204620;41213277;41215358;41218918;41223966;41228718;41232375;41235087;41237273,+;+;+;+;+;+;+;+;+;+,2087,1663,1646,1575,1643,1004,99,488,99,1004
GENE.10073,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,41157301;41189361;41204508;41213206;41215245;41218823;41223793;41228560;41232268,41157539;41189464;41204620;41213277;41215358;41218918;41223966;41228718;41232436,+;+;+;+;+;+;+;+;+,1240,1014,997,928,961,513,45,269,45,513
GENE.100731,chr7,77298842,77299308,-,467,4,4,4,4,4,0,0,0,4
GENE.100735,chr7;chr7;chr7,77313260;77314519;77325489,77313650;77314645;77325571,-;-;-,601,10,10,10,8,8,0,3,0,8
GENE.100744,chr7;chr7,77423033;77427571,77423740;77427897,-;-,1035,78,76,78,72,58,4,22,4,58
GENE.100771,chr7;chr7;chr7,78638304;78640243;78641400,78638440;78640387;78641593,+;+;+,476,0,0,0,0,0,0,0,0,0
GENE.100782,chr7;chr7;chr7;chr7,79083332;79084202;79088163;79100099,79083560;79084323;79088315;79100364,+;+;+;+,770,62,62,59,62,51,9,25,9,51
GENE.100784,chr7;chr7;chr7;chr7,79083332;79088163;79088723;79088852,79083560;79088315;79088769;79088941,+;+;+;+,519,55,55,54,57,50,9,25,9,50
GENE.100797,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,80087942;80091475;80091818;80103567;80108157;80117851;80123921;80141125,80088177;80091628;80091947;80103695;80108314;80117992;80123963;80141328,-;-;-;-;-;-;-;-,1196,306,304,298,284,193,27,90,27,193
GENE.100798,chr7;chr7;chr7;chr7,80222230;80275404;80275968;80285856,80222440;80275497;80276176;80285908,+;+;+;+,567,246,241,235,225,186,26,99,26,186
GENE.100808,chr7;chr7;chr7;chr7,80253402;80275968;80285856;80290379,80253506;80276176;80286016;80290474,+;+;+;+,571,285,282,279,261,205,22,96,22,205
GENE.100816,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,80267832;80275404;80275968;80285856;80290379;80292306;80293722;80295759;80299269;80300293;80301238;80302086;80302671;80303299,80268062;80275497;80276176;80286016;80290526;80292485;80293813;80295805;80299338;80300480;80301356;80302159;80302725;80303738,+;+;+;+;+;+;+;+;+;+;+;+;+;+,2108,611,606,604,583,415,48,191,48,415
GENE.100818,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,80267959;80275408;80275968;80285856;80290379;80292306;80293722;80295759;80299269;80300293;80301238;80302086;80302671;80303299;80305700,80268062;80275497;80276176;80286016;80290526;80292485;80293813;80295805;80299338;80300480;80301356;80302159;80302725;80303463;80306260,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2263,572,568,565,544,384,45,172,45,384
GENE.100837,chr7,80539966,80542928,-,2963,22,31,23,22,23,12,18,12,23
GENE.100849,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,81578462;81588591;81589036;81591210;81591756;81593372;81593523;81594910;81596485;81596912;81599991,81579824;81588673;81589145;81591339;81591811;81593424;81593675;81594981;81596523;81596979;81600405,-;-;-;-;-;-;-;-;-;-;-,2542,33,35,32,33,24,5,15,5,24
GENE.100865,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,82467538;82470775;82474587;82475883;82476455;82478184;82508653;82523713,82467658;82470825;82474801;82475950;82476563;82478237;82508778;82523769,-;-;-;-;-;-;-;-,801,449,445,429,440,244,13,90,13,244
GENE.10087,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,41175038;41204508;41213206;41215245;41218823;41223793;41228560;41232268;41235028;41236069,41175288;41204620;41213277;41215358;41218918;41223966;41228718;41232375;41235087;41237273,+;+;+;+;+;+;+;+;+;+,2352,1876,1867,1826,1884,1170,109,576,109,1170
GENE.100882,chr7;chr7;chr7;chr7,84161860;84178463;84200295;84213467,84161923;84178569;84200423;84213632,+;+;+;+,466,15,15,15,15,13,0,6,0,13
GENE.100887,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,84628719;84636118;84642098;84644375;84647568;84649549;84651707;84666205;84669989;84671154,84629181;84636257;84642162;84644532;84647609;84649637;84651929;84666349;84670058;84671260,-;-;-;-;-;-;-;-;-;-,1502,0,0,0,0,0,0,0,0,0
GENE.10089,chr1;chr1;chr1;chr1,41200520;41201273;41204508;41213206,41200705;41201422;41204620;41213277,+;+;+;+,521,421,407,344,356,175,14,87,14,175
GENE.100899,chr7,86482080,86482630,-,551,65,65,65,71,59,11,26,11,59
GENE.10090,chr1;chr1,41200987;41204508,41201422;41204619,+;+,548,323,305,256,273,135,11,69,11,135
GENE.100915,chr7;chr7,86780739;86781066,86780974;86781633,-;-,804,10,9,10,8,8,0,3,0,8
GENE.100928,chr7;chr7;chr7;chr7;chr7,86781770;86792811;86794250;86795799;86800317,86781871;86792933;86794366;86795921;86800337,+;+;+;+;+,486,289,284,280,282,208,21,94,21,208
GENE.100931,chr7;chr7;chr7;chr7;chr7;chr7;chr7,86781770;86794250;86795799;86800311;86802851;86803909;86808861,86781871;86794366;86795921;86800405;86802965;86803985;86808867,+;+;+;+;+;+;+,636,341,337,330,328,229,18,103,18,229
GENE.100933,chr7;chr7;chr7;chr7;chr7,86781948;86792811;86794250;86795799;86800311,86782107;86792933;86794366;86795921;86800367,+;+;+;+;+,580,320,315,308,311,235,24,109,24,235
GENE.100946,chr7;chr7,86811563;86815145,86811653;86815783,+;+,730,242,236,216,191,121,4,51,4,121
GENE.100952,chr7;chr7,86823040;86824000,86823418;86824219,+;+,599,357,353,337,333,221,22,114,22,221
GENE.100964,chr7;chr7,86827544;86848742,86828373;86848942,-;-,1031,24,24,24,23,18,2,11,2,18
GENE.100967,chr7;chr7,86948641;86948865,86948729;86949154,+;+,379,0,8,0,0,0,0,0,0,0
GENE.10100,chr1,41254017,41254572,-,556,0,0,0,0,0,0,0,0,0
GENE.101009,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,87505537;87507368;87514294;87516159;87516644;87517298;87525789;87526609;87529536;87530079;87533607;87536503,87506093;87507540;87514473;87516209;87516713;87517374;87525825;87526654;87529664;87530193;87533731;87538865,+;+;+;+;+;+;+;+;+;+;+;+,3923,636,638,577,642,484,42,149,42,484
GENE.101029,chr7;chr7;chr7;chr7;chr7;chr7,87835606;87837822;87838654;87846437;87848174;87849291,87835819;87837880;87838767;87846506;87848257;87849318,-;-;-;-;-;-,569,91,91,86,92,65,19,41,19,65
GENE.101039,chr7,87905744,87907187,+,1444,140,142,135,108,90,6,23,6,90
GENE.10104,chr1;chr1;chr1,41329586;41329840;41342139,41329624;41330067;41342340,+;+;+,469,4,4,4,4,2,0,0,0,2
GENE.101071,chr7,89898028,89898400,-,373,15,16,15,15,15,6,12,6,15
GENE.101109,chr7;chr7;chr7,90219938;90221030;90226511,90220042;90221215;90226667,-;-;-,448,14,14,14,14,14,0,2,0,14
GENE.10113,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,41447601;41448950;41450493;41453044;41454266;41456837;41457437;41461589,41447666;41449128;41450663;41453144;41454382;41456920;41457517;41462640,+;+;+;+;+;+;+;+,1851,414,410,404,389,292,32,120,32,292
GENE.101134,chr7;chr7;chr7,91502021;91509369;91509971,91504078;91509427;91510034,-;-;-,2181,52,53,50,38,28,6,19,6,28
GENE.101143,chr7;chr7,91566930;91569439,91567360;91569838,+;+,831,32,32,32,28,24,4,13,4,24
GENE.101157,chr7;chr7;chr7,91730192;91731908;91739436,91730370;91732140;91739779,+;+;+,756,57,57,57,57,51,9,19,9,51
GENE.101158,chr7;chr7,91736252;91737808,91736736;91737863,+;+,541,10,11,10,10,10,2,7,2,10
GENE.101181,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,91829687;91830621;91842509;91843206;91843925;91851216;91852136;91855034;91855840;91863763;91864122;91864717;91865727;91866981;91870307;91871348;91873316;91874216;91874741;91875136,91830118;91830737;91842715;91843293;91844091;91851367;91852292;91855141;91855996;91863906;91864237;91864960;91865856;91867073;91870466;91871451;91873463;91874448;91874909;91875227,-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,3218,156,155,153,159,106,12,46,12,106
GENE.101196,chr7;chr7;chr7;chr7;chr7,91867035;91870307;91871348;91873316;91875104,91867073;91870466;91871451;91873463;91875233,-;-;-;-;-,581,35,35,33,37,23,1,13,1,23
GENE.101197,chr7;chr7;chr7;chr7;chr7,91867038;91870307;91871348;91874216;91875220,91867073;91870466;91871451;91874485;91875256,-;-;-;-;-,607,41,41,40,45,27,2,13,2,27
GENE.10120,chr1;chr1;chr1;chr1;chr1;chr1,41466582;41467832;41468786;41471723;41473121;41474331,41466789;41467926;41468848;41471766;41473217;41474409,+;+;+;+;+;+,586,127,125,119,121,98,15,34,15,98
