x,Run,Model,Dataset,Window,Time,Loss,Accuracy,F1,MCC,Precision,Recall,Epoch
26,NT 2.5B RefSeq200 wot LoRA,NT_2.5B_850g_multi_species,RefSeq200_wot_LoRA,200,0.7826716666666667,0.09415415674448013,0.9684375997838528,0.9677751570806169,0.9497330837925015,0.9653752060478785,0.9703109464126997,10.0
3,DNABERT1 k6  Splice  Malaria90,DNABERT1_k6,PF_r57_90,90,0.045961666666666665,0.13116741180419922,0.9695519791213572,0.9693340520203891,0.9513439196146659,0.9683087391110442,0.9704120337715727,10.0
0,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,0.3895416666666666,0.09630487114191055,0.9701893850830021,0.9692249555139139,0.9520407726811008,0.9709705733184807,0.9675447765658035,10.0
21,NT 2.5B RefSeq90,NT_2.5B_850g_multi_species,RefSeq90,90,0.806835,0.08905559033155441,0.970655313972936,0.9699142842317996,0.9530571043074175,0.9694215027818306,0.970427319728588,10.0
10,DNABERT1 k6  Splice  RefSeq400,DNABERT1_k6,RefSeq400,400,0.09342833333333332,0.10163035988807678,0.9709189027132364,0.9704134112124655,0.9536629952511929,0.968328054023727,0.9727092557248421,10.0
27,NT 2.5B RefSeq400,NT_2.5B_850g_multi_species,RefSeq400,400,0.20385333333333333,0.09677056223154068,0.9727926847549093,0.9721484750613903,0.9565516876397737,0.9706546459653915,0.9737047149924466,10.0
7,DNABERT1 k6  Splice  RefSeq90,DNABERT1_k6,RefSeq90,90,0.41795166666666667,0.08488921821117401,0.9731364120143199,0.9723612339473847,0.9571450740678022,0.9704533035737005,0.9743468859815576,10.0
2,DNABERT1 MS150,DNABERT1_k6,MultiSpecies150,150,1.7897500000000002,0.08715774863958359,0.9741854113843607,0.9735231272973772,0.9586896725613676,0.9741158773485156,0.9729432429364309,10.0
23,NT 2.5B RefSeq150,NT_2.5B_850g_multi_species,RefSeq150,150,0.9186716666666667,0.0726500153541565,0.9768323719036308,0.9763164863581618,0.9628452352664432,0.975180601721647,0.9774918597135193,10.0
5,DNABERT1 k6  Splice  Malaria200,DNABERT1_k6,PF_r57_200,200,0.02979,0.13033020496368408,0.9774881516587678,0.9772663110074863,0.9636976075729949,0.9733665768793701,0.9815958917341406,10.0
25,NT 2.5B RefSeq200,NT_2.5B_850g_multi_species,RefSeq200,200,0.8576016666666667,0.06993581354618073,0.9778940387591187,0.9776207861533784,0.9646185255218073,0.9778013474576882,0.9774409456087009,10.0
9,DNABERT1 k6  Splice  RefSeq200,DNABERT1_k6,RefSeq200,200,0.26414,0.06997641921043396,0.978139660550684,0.9778103089098064,0.9651231214310994,0.9762888319590406,0.9793993980587312,10.0
8,DNABERT1 k6  Splice  RefSeq150,DNABERT1_k6,RefSeq150,150,0.3590733333333333,0.07112739235162735,0.9784865965388531,0.9779323534502312,0.9655005934893659,0.9767229192228487,0.9791725552698595,10.0
4,DNABERT1 k6  Splice  Malaria150,DNABERT1_k6,PF_r57_150,150,0.03881666666666667,0.11167018860578537,0.9787922358015816,0.9786494837632652,0.9662295029441729,0.9804842225266629,0.9771094267949615,10.0
